source_key,cefr_level,thai_script,paiboon,english_gloss,part_of_speech,register,default_theme,is_multifunctional,usage_note,source_note
find,A1,หา,hǎa,find,verb,formal,actions,true,can mean find look for or seek depending on context,ai_a1_master_v3
use,A1,ใช้,chái,use,verb,formal,actions,true,can mean use spend or employ depending on context,ai_a1_master_v3
need_must,A1,ต้อง,dtɔ̂ng,need,verb,formal,essentials,true,can mean need must or have to depending on context,ai_a1_master_v3
try,A1,ลอง,lɔɔng,try,verb,formal,actions,true,can mean try test or try doing something,ai_a1_master_v3
carry,A1,ถือ,tʉ̌ʉ,carry,verb,formal,actions,true,can mean hold carry or regard depending on context,ai_a1_master_v3
put,A1,วาง,waang,put,verb,formal,actions,false,,ai_a1_master_v3
turn,A1,เลี้ยว,líiao,turn,verb,formal,directions,false,,ai_a1_master_v3
stop,A1,หยุด,yùt,stop,verb,formal,transport,true,can mean stop pause or quit depending on context,ai_a1_master_v3
here,A1,ที่นี่,tîi-nîi,here,pronoun,formal,places,false,,ai_a1_master_v3
there,A1,ที่นั่น,tîi-nân,there,pronoun,formal,places,false,,ai_a1_master_v3
from,A1,จาก,jàak,from,preposition,formal,travel,false,,ai_a1_master_v3
if,A1,ถ้า,tâa,if,conjunction,formal,essentials,false,,ai_a1_master_v3
that_clause,A1,ว่า,wâa,that,conjunction,formal,essentials,true,also used to introduce reported speech or thoughts,ai_a1_master_v3
many,A1,หลาย,lǎai,many,adjective,formal,descriptions,false,,ai_a1_master_v3
few,A1,น้อย,nɔ́ɔi,few,adjective,formal,descriptions,true,can mean few little or not much depending on context,ai_a1_master_v3
calendar,A1,ปฏิทิน,bpà-dtì-tin,calendar,noun,formal,time,false,,ai_a1_master_v3
tonight,A1,คืนนี้,kʉʉn-níi,tonight,noun,formal,time,false,,ai_a1_master_v3
everything,A1,ทุกอย่าง,túk-yàang,everything,pronoun,formal,essentials,false,,ai_a1_master_v3
never,A1,ไม่เคย,mâi-kəəi,never,adverb,formal,daily_life,true,also used to say have never done something,ai_a1_master_v3
january,A1,มกราคม,má-ga-raa-kom,January,noun,formal,time,false,,ai_a1_master_v3
february,A1,กุมภาพันธ์,gum-paa-pan,February,noun,formal,time,false,,ai_a1_master_v3
march,A1,มีนาคม,mii-naa-kom,March,noun,formal,time,false,,ai_a1_master_v3
april,A1,เมษายน,mee-sǎa-yon,April,noun,formal,time,false,,ai_a1_master_v3
may,A1,พฤษภาคม,prʉ́t-sà-paa-kom,May,noun,formal,time,false,,ai_a1_master_v3
june,A1,มิถุนายน,mí-tù-naa-yon,June,noun,formal,time,false,,ai_a1_master_v3
july,A1,กรกฎาคม,gà-rá-gà-daa-kom,July,noun,formal,time,false,,ai_a1_master_v3
august,A1,สิงหาคม,sǐng-hǎa-kom,August,noun,formal,time,false,,ai_a1_master_v3
september,A1,กันยายน,gan-yaa-yon,September,noun,formal,time,false,,ai_a1_master_v3
october,A1,ตุลาคม,dtù-laa-kom,October,noun,formal,time,false,,ai_a1_master_v3
november,A1,พฤศจิกายน,prʉ́t-sà-jì-gaa-yon,November,noun,formal,time,false,,ai_a1_master_v3
december,A1,ธันวาคม,tan-waa-kom,December,noun,formal,time,false,,ai_a1_master_v3
rain,A1,ฝน,fǒn,rain,noun,formal,weather,false,,ai_a1_master_v3
sun,A1,แดด,dàaet,sun,noun,formal,weather,false,,ai_a1_master_v3
wind,A1,ลม,lom,wind,noun,formal,weather,false,,ai_a1_master_v3
cloud,A1,เมฆ,mêek,cloud,noun,formal,weather,false,,ai_a1_master_v3
sky,A1,ฟ้า,fáa,sky,noun,formal,weather,true,also commonly refers to the sky or blue-sky context,ai_a1_master_v3
weather,A1,อากาศ,aa-gàat,weather,noun,formal,weather,true,also used for air or atmosphere depending on context,ai_a1_master_v3
cold_weather,A1,หนาว,nǎao,cold,adjective,formal,weather,true,used for cold weather or feeling cold,ai_a1_master_v3
rainy,A1,ฝนตก,fǒn-dtòk,rain,verb,formal,weather,false,,ai_a1_master_v3
sunny,A1,แดดออก,dàaet-ɔ̀ɔk,sunny,verb,formal,weather,false,,ai_a1_master_v3
cloudy,A1,มีเมฆมาก,mii-mêek-mâak,cloudy,verb,formal,weather,false,,ai_a1_master_v3
season,A1,ฤดู,rʉ́-duu,season,noun,formal,weather,false,,ai_a1_master_v3
summer,A1,ฤดูร้อน,rʉ́-duu-rɔ́ɔn,summer,noun,formal,weather,false,,ai_a1_master_v3
rainy_season,A1,ฤดูฝน,rʉ́-duu-fǒn,rainy season,noun,formal,weather,false,,ai_a1_master_v3
winter,A1,ฤดูหนาว,rʉ́-duu-nǎao,winter,noun,formal,weather,false,,ai_a1_master_v3
sock,A1,ถุงเท้า,tǔng-táao,socks,noun,formal,clothing,false,,ai_a1_master_v3
outfit,A1,ชุด,chút,outfit,noun,formal,clothing,true,can mean outfit set or suit depending on context,ai_a1_master_v3
skirt,A1,กระโปรง,grà-bproong,skirt,noun,formal,clothing,false,,ai_a1_master_v3
size,A1,ขนาด,kà-nàat,size,noun,formal,shopping,false,,ai_a1_master_v3
price,A1,ราคา,raa-kaa,price,noun,formal,shopping,false,,ai_a1_master_v3
reduce,A1,ลด,lót,reduce,verb,formal,shopping,true,can mean reduce lower or discount depending on context,ai_a1_master_v3
change_money,A1,เงินทอน,ngən-tɔɔn,change,noun,formal,shopping,false,,ai_a1_master_v3
customer,A1,ลูกค้า,lûuk-káa,customer,noun,formal,shopping,false,,ai_a1_master_v3
seller,A1,คนขาย,kon-kǎai,seller,noun,formal,shopping,false,,ai_a1_master_v3
airport,A1,สนามบิน,sà-nǎam-bin,airport,noun,formal,travel,false,,ai_a1_master_v3
post_office,A1,ไปรษณีย์,bprai-sà-nii,post office,noun,formal,places,false,,ai_a1_master_v3
police,A1,ตำรวจ,dtam-rùuat,police,noun,formal,places,false,,ai_a1_master_v3
police_station,A1,สถานีตำรวจ,sà-tǎa-nii-dtam-rùuat,police station,noun,formal,places,false,,ai_a1_master_v3
taxi,A1,แท็กซี่,táek-sîi,taxi,noun,informal,transport,false,,ai_a1_master_v3
motorbike,A1,มอเตอร์ไซค์,mɔɔ-dtəə-sai,motorbike,noun,informal,transport,false,,ai_a1_master_v3
map,A1,แผนที่,pǎaen-tîi,map,noun,formal,directions,false,,ai_a1_master_v3
corner,A1,มุม,mum,corner,noun,formal,directions,false,,ai_a1_master_v3
crossroad,A1,แยก,yâaek,intersection,noun,formal,directions,true,can mean intersection or split depending on context,ai_a1_master_v3
bridge,A1,สะพาน,sà-paan,bridge,noun,formal,places,false,,ai_a1_master_v3
river,A1,แม่น้ำ,mâae-náam,river,noun,formal,places,false,,ai_a1_master_v3
sea,A1,ทะเล,tá-lee,sea,noun,formal,places,false,,ai_a1_master_v3
mountain,A1,ภูเขา,puu-kǎo,mountain,noun,formal,places,false,,ai_a1_master_v3
temple,A1,วัด,wát,temple,noun,formal,places,false,,ai_a1_master_v3
company,A1,บริษัท,bɔɔ-rí-sàt,company,noun,formal,work,false,,ai_a1_master_v3
boss,A1,หัวหน้า,hǔua-nâa,boss,noun,formal,work,true,can mean boss leader or person in charge,ai_a1_master_v3
job,A1,งาน,ngaan,job,noun,formal,work,true,can mean job work or event depending on context,ai_a1_master_v3
holiday,A1,วันหยุด,wan-yùt,holiday,noun,formal,time,false,,ai_a1_master_v3
birthday,A1,วันเกิด,wan-gə̀ət,birthday,noun,formal,time,false,,ai_a1_master_v3
gift,A1,ของขวัญ,kɔ̌ɔng-kwǎn,gift,noun,formal,daily_life,false,,ai_a1_master_v3
photo,A1,รูป,rûup,photo,noun,formal,daily_life,true,can mean photo picture or image depending on context,ai_a1_master_v3
music_song,A1,เพลง,pleeng,music,noun,formal,daily_life,true,can mean music or song depending on context,ai_a1_master_v3
movie,A1,หนัง,nǎng,movie,noun,informal,daily_life,true,can mean movie or film; also appears in compounds for books or leather,ai_a1_master_v3
dance,A1,เต้น,dtên,dance,verb,formal,daily_life,true,can mean dance or bounce depending on context,ai_a1_master_v3
sing,A1,ร้องเพลง,rɔ́ɔng-pleeng,sing,verb,formal,daily_life,false,,ai_a1_master_v3
play_game,A1,เล่นเกม,lên-geem,play games,verb,informal,daily_life,false,,ai_a1_master_v3
play_sport,A1,เล่นกีฬา,lên-gii-laa,play sports,verb,formal,daily_life,false,,ai_a1_master_v3
swim,A1,ว่ายน้ำ,wâai-náam,swim,verb,formal,daily_life,false,,ai_a1_master_v3
exercise,A1,ออกกำลังกาย,ɔ̀ɔk-gam-lang-gaai,exercise,verb,formal,health,false,,ai_a1_master_v3
rest,A1,พัก,pák,rest,verb,formal,daily_life,true,can mean rest stay briefly or take a break depending on context,ai_a1_master_v3
wash,A1,ล้าง,láang,wash,verb,formal,daily_life,false,,ai_a1_master_v3
bathe,A1,อาบน้ำ,àap-náam,bathe,verb,formal,daily_life,false,,ai_a1_master_v3
brush_teeth,A1,แปรงฟัน,bpraaeng-fan,brush teeth,verb,formal,daily_life,false,,ai_a1_master_v3
comb_hair,A1,หวีผม,wǐi-pǒm,comb hair,verb,formal,daily_life,false,,ai_a1_master_v3
glasses,A1,แว่นตา,wâen-dtaa,glasses,noun,formal,clothing,false,,ai_a1_master_v3
umbrella,A1,ร่ม,rôm,umbrella,noun,formal,weather,true,also means shade in some contexts,ai_a1_master_v3
letter,A1,จดหมาย,jòt-mǎai,letter,noun,formal,daily_life,false,,ai_a1_master_v3
email,A1,อีเมล,ii-meen,email,noun,informal,work,false,,ai_a1_master_v3
internet,A1,อินเทอร์เน็ต,in-təə-nét,internet,noun,informal,work,false,,ai_a1_master_v3
question_why,A1,ทำไม,tam-mai,why,question_word,formal,questions,false,,ai_a1_master_v3
what_time,A1,กี่โมง,gìi-moong,what time,question_word,formal,questions,false,,ai_a1_master_v3
how_old,A1,อายุเท่าไร,aa-yú-tâo-rai,how old,question_word,formal,questions,false,,ai_a1_master_v3
how_long,A1,นานเท่าไร,naan-tâo-rai,how long,question_word,formal,questions,false,,ai_a1_master_v3
which_one,A1,อันไหน,an-nǎi,which one,question_word,formal,questions,false,,ai_a1_master_v3
age,A1,อายุ,aa-yú,age,noun,formal,people,true,also commonly means age in years or age of a person,ai_a1_master_v3
years_old,A1,ขวบ,kùuap,years old,classifier,formal,people,false,,ai_a1_master_v3
married,A1,แต่งงาน,dtàaeng-ngaan,married,verb,formal,family,true,can mean get married or be married depending on context,ai_a1_master_v3
single,A1,โสด,sòot,single,adjective,formal,family,false,,ai_a1_master_v3
partner,A1,แฟน,faaen,partner,noun,informal,family,true,can mean boyfriend girlfriend or partner depending on context,ai_a1_master_v3
neighbor,A1,เพื่อนบ้าน,pʉ̂an-bâan,neighbor,noun,formal,people,false,,ai_a1_master_v3
born,A1,เกิด,gə̀ət,born,verb,formal,people,true,can mean be born happen or occur depending on context,ai_a1_master_v3
return_home,A1,กลับบ้าน,glàp-bâan,go home,verb,formal,daily_life,false,,ai_a1_master_v3
take_off,A1,ถอด,tɔ̀ɔt,take off,verb,formal,clothing,true,can mean remove take off or unplug depending on context,ai_a1_master_v3
change_clothes,A1,เปลี่ยนเสื้อผ้า,bplìian-sʉ̂a-pâa,change clothes,verb,formal,clothing,false,,ai_a1_master_v3
park,A1,สวนสาธารณะ,sǔan-sǎa-taa-rá-ná,park,noun,formal,places,false,,ai_a1_master_v3
office,A1,สำนักงาน,sǎm-nák-ngaan,office,noun,formal,work,false,,ai_a1_master_v3
coworker,A1,เพื่อนร่วมงาน,pʉ̂an-rûuam-ngaan,coworker,noun,formal,work,false,,ai_a1_master_v3
party,A1,งานเลี้ยง,ngaan-líiang,party,noun,formal,daily_life,false,,ai_a1_master_v3
newspaper,A1,หนังสือพิมพ์,nǎng-sʉ̌ʉ-pim,newspaper,noun,formal,daily_life,false,,ai_a1_master_v3
website,A1,เว็บไซต์,wép-sai,website,noun,informal,work,false,,ai_a1_master_v3
how_often,A1,บ่อยแค่ไหน,bɔ̀i-kâae-nǎi,how often,question_word,formal,questions,false,,ai_a1_master_v3
watch_item,A1,นาฬิกาข้อมือ,naa-lí-gaa-kɔ̂ɔ-mʉʉ,watch,noun,formal,clothing,false,,ai_a1_master_v3
airport_train,A1,รถไฟฟ้า,rót-fai-fáa,skytrain,noun,formal,transport,true,can refer to electric train or city rail transit depending on context,ai_a1_master_v3
motorcycle_taxi,A1,วินมอเตอร์ไซค์,win-mɔɔ-dtəə-sai,motorbike taxi,noun,informal,transport,false,,ai_a1_master_v3
calendar_month,A1,เดือน,dʉan,month,noun,formal,time,true,also used in dates and calendar expressions,ai_a1_master_v3
fear_afraid,A1,กลัว,gluua,afraid,adjective,formal,descriptions,true,can mean be afraid fear or be scared depending on context,ai_a1_master_v3
angry,A1,โกรธ,gròot,angry,adjective,formal,descriptions,false,,ai_a1_master_v3
surprised,A1,ตกใจ,dtòk-jai,surprised,adjective,formal,descriptions,true,can mean be surprised startled or shocked depending on context,ai_a1_master_v3
full,A1,อิ่ม,ìm,full,adjective,formal,food,true,used for being full after eating,ai_a1_master_v3
smell,A1,กลิ่น,glìn,smell,noun,formal,food,false,,ai_a1_master_v3
good_smell,A1,หอม,hɔ̌ɔm,fragrant,adjective,formal,food,true,can describe a pleasant smell or tasty aroma,ai_a1_master_v3
bad_smell,A1,เหม็น,měn,smelly,adjective,formal,food,true,can describe a bad smell or something stinky,ai_a1_master_v3
wake_up,A1,ตื่น,dtʉ̀ʉn,wake up,verb,formal,daily_life,true,can mean wake up or be awake depending on context,ai_a1_master_v3
get_up,A1,ลุก,lúk,get up,verb,formal,actions,true,can mean get up stand up or rise,ai_a1_master_v3
smile,A1,ยิ้ม,yím,smile,verb,formal,descriptions,false,,ai_a1_master_v3
laugh,A1,หัวเราะ,hǔua-rɔ́,laugh,verb,formal,descriptions,false,,ai_a1_master_v3
cry,A1,ร้องไห้,rɔ́ɔng-hâi,cry,verb,formal,descriptions,false,,ai_a1_master_v3
question_noun,A1,คำถาม,kam-tǎam,question,noun,formal,questions,false,,ai_a1_master_v3
answer_noun,A1,คำตอบ,kam-dtɔ̀ɔp,answer,noun,formal,questions,false,,ai_a1_master_v3
lesson,A1,บทเรียน,bòt-riian,lesson,noun,formal,school,false,,ai_a1_master_v3
classroom,A1,ห้องเรียน,hɔ̂ng-riian,classroom,noun,formal,school,false,,ai_a1_master_v3
exam_test,A1,สอบ,sɔ̀ɔp,exam,verb,formal,school,true,can mean exam test or take an exam depending on context,ai_a1_master_v3
score,A1,คะแนน,ka-naaen,score,noun,formal,school,false,,ai_a1_master_v3
homework,A1,การบ้าน,gaan-bâan,homework,noun,formal,school,false,,ai_a1_master_v3
exercise_sheet,A1,แบบฝึกหัด,bàaep-fʉ̀k-hàt,exercise,noun,formal,school,false,,ai_a1_master_v3
word,A1,คำ,kam,word,noun,formal,school,true,can mean word term or utterance depending on context,ai_a1_master_v3
sentence,A1,ประโยค,bprà-yòok,sentence,noun,formal,school,false,,ai_a1_master_v3
language,A1,ภาษา,paa-sǎa,language,noun,formal,school,false,,ai_a1_master_v3
translate,A1,แปล,bplae,translate,verb,formal,school,true,can mean translate interpret or explain depending on context,ai_a1_master_v3
spell,A1,สะกด,sà-gòt,spell,verb,formal,school,true,can mean spell or track/follow in some contexts,ai_a1_master_v3
correct,A1,ถูกต้อง,tùuk-dtɔ̂ng,correct,adjective,formal,school,false,,ai_a1_master_v3
wrong,A1,ผิด,pìt,wrong,adjective,formal,school,true,can mean wrong mistaken incorrect or illegal depending on context,ai_a1_master_v3
example,A1,ตัวอย่าง,dtuua-yàang,example,noun,formal,school,false,,ai_a1_master_v3
meaning,A1,ความหมาย,kwaam-mǎai,meaning,noun,formal,school,false,,ai_a1_master_v3
read_aloud,A1,อ่านออกเสียง,àan-ɔ̀ɔk-sǐiang,read aloud,verb,formal,school,false,,ai_a1_master_v3
write_down,A1,จด,jòt,write down,verb,formal,school,true,can mean write down note or record depending on context,ai_a1_master_v3
erase,A1,ลบ,lóp,erase,verb,formal,school,true,can mean erase delete or remove depending on context,ai_a1_master_v3
board,A1,กระดาน,grà-daan,board,noun,formal,school,false,,ai_a1_master_v3
paper,A1,กระดาษ,grà-dàat,paper,noun,formal,school,false,,ai_a1_master_v3
pencil,A1,ดินสอ,din-sɔ̌ɔ,pencil,noun,formal,school,false,,ai_a1_master_v3
eraser,A1,ยางลบ,yaang-lóp,eraser,noun,formal,school,false,,ai_a1_master_v3
ruler,A1,ไม้บรรทัด,mái-ban-tát,ruler,noun,formal,school,false,,ai_a1_master_v3
box,A1,กล่อง,glɔ̀ng,box,noun,formal,home,false,,ai_a1_master_v3
wall,A1,กำแพง,gam-paaeng,wall,noun,formal,home,false,,ai_a1_master_v3
floor,A1,พื้น,pʉ́ʉn,floor,noun,formal,home,true,can mean floor ground or surface depending on context,ai_a1_master_v3
ceiling,A1,เพดาน,pee-daan,ceiling,noun,formal,home,false,,ai_a1_master_v3
stairs,A1,บันได,ban-dai,stairs,noun,formal,home,true,can mean stairs staircase or ladder depending on context,ai_a1_master_v3
soap,A1,สบู่,sà-bùu,soap,noun,formal,home,false,,ai_a1_master_v3
towel,A1,ผ้าเช็ดตัว,pâa-chét-dtuua,towel,noun,formal,home,false,,ai_a1_master_v3
toothbrush,A1,แปรงสีฟัน,bpraaeng-sǐi-fan,toothbrush,noun,formal,home,false,,ai_a1_master_v3
toothpaste,A1,ยาสีฟัน,yaa-sǐi-fan,toothpaste,noun,formal,home,false,,ai_a1_master_v3
mirror,A1,กระจก,grà-jòk,mirror,noun,formal,home,true,can also refer to glass depending on context,ai_a1_master_v3
comb,A1,หวี,wǐi,comb,noun,formal,home,true,also used as a verb meaning comb,ai_a1_master_v3
shampoo,A1,แชมพู,chaaem-puu,shampoo,noun,informal,home,false,,ai_a1_master_v3
bedroom,A1,ห้องนอน,hɔ̂ng-nɔɔn,bedroom,noun,formal,home,false,,ai_a1_master_v3
living_room,A1,ห้องนั่งเล่น,hɔ̂ng-nâng-lên,living room,noun,formal,home,false,,ai_a1_master_v3
garden,A1,สวน,sǔan,garden,noun,formal,home,true,can mean garden park or orchard depending on context,ai_a1_master_v3
shopkeeper,A1,เจ้าของร้าน,jâo-kɔ̌ɔng-ráan,shopkeeper,noun,formal,shopping,false,,ai_a1_master_v3
receipt,A1,ใบเสร็จ,bai-sèt,receipt,noun,formal,shopping,false,,ai_a1_master_v3
cash,A1,เงินสด,ngən-sòt,cash,noun,formal,shopping,false,,ai_a1_master_v3
card,A1,บัตร,bàt,card,noun,formal,shopping,true,can mean card pass or ticket depending on context,ai_a1_master_v3
credit_card,A1,บัตรเครดิต,bàt-krée-dìt,credit card,noun,informal,shopping,false,,ai_a1_master_v3
queue,A1,คิว,kiu,queue,noun,informal,shopping,true,can mean queue line or booking slot depending on context,ai_a1_master_v3
wait_line,A1,ต่อแถว,dtɔ̀ɔ-tǎaeo,queue up,verb,formal,shopping,false,,ai_a1_master_v3
free_no_cost,A1,ฟรี,fríi,free,adjective,informal,shopping,false,,ai_a1_master_v3
busy,A1,ยุ่ง,yûng,busy,adjective,formal,work,true,can mean busy occupied or tangled depending on context,ai_a1_master_v3
free_time,A1,ว่าง,wâang,free,adjective,formal,daily_life,true,can mean free available or empty depending on context,ai_a1_master_v3
meeting_event,A1,ประชุม,bprà-chum,meeting,verb,formal,work,true,can mean have a meeting meet formally or a meeting event depending on context,ai_a1_master_v3
document,A1,เอกสาร,èek-gà-sǎan,document,noun,formal,work,false,,ai_a1_master_v3
sign,A1,เซ็น,sen,sign,verb,informal,work,false,,ai_a1_master_v3
message,A1,ข้อความ,kɔ̂ɔ-kwaam,message,noun,formal,work,false,,ai_a1_master_v3
line_app,A1,ไลน์,lai,LINE,noun,informal,work,false,,ai_a1_master_v3
battery,A1,แบตเตอรี่,bàaet-dtəə-rîi,battery,noun,informal,work,false,,ai_a1_master_v3
charger,A1,ที่ชาร์จ,tîi-cháat,charger,noun,informal,work,true,literally charging place/device; used for charger,ai_a1_master_v3
broken,A1,เสีย,sǐia,broken,adjective,formal,work,true,can mean broken spoiled damaged or lost depending on context,ai_a1_master_v3
fix,A1,ซ่อม,sɔ̂ɔm,fix,verb,formal,work,false,,ai_a1_master_v3
problem,A1,ปัญหา,bpan-hǎa,problem,noun,formal,work,false,,ai_a1_master_v3
dangerous,A1,อันตราย,an-dtà-raai,dangerous,adjective,formal,essentials,true,can mean danger as a noun in some contexts,ai_a1_master_v3
careful,A1,ระวัง,rá-wang,careful,verb,formal,essentials,true,used as be careful watch out or beware,ai_a1_master_v3
safe,A1,ปลอดภัย,bplɔ̀ɔt-pai,safe,adjective,formal,essentials,false,,ai_a1_master_v3
lost,A1,หลง,lǒng,lost,adjective,formal,travel,true,can mean be lost lose one's way or be infatuated depending on context,ai_a1_master_v3
wrong_way,A1,ผิดทาง,pìt-taang,wrong way,adjective,formal,directions,false,,ai_a1_master_v3
straight_ahead,A1,ตรงไป,dtrong-bpai,go straight,verb,formal,directions,false,,ai_a1_master_v3
across,A1,ข้าม,kâam,across,preposition,formal,directions,true,can mean across cross over or skip depending on context,ai_a1_master_v3
worried,A1,กังวล,gang-won,worried,adjective,formal,descriptions,false,,ai_a1_master_v3
taste_noun,A1,รสชาติ,rót-châat,taste,noun,formal,food,true,can mean taste or flavor,ai_a1_master_v3
rest_relax,A1,พักผ่อน,pák-pɔ̀ɔn,rest,verb,formal,daily_life,false,,ai_a1_master_v3
page,A1,หน้า,nâa,page,noun,formal,school,true,also commonly means face or front depending on context,ai_a1_master_v3
repeat,A1,ทวน,tuan,repeat,verb,formal,school,true,can mean repeat review or recite again depending on context,ai_a1_master_v3
not_understand,A1,ไม่เข้าใจ,mâi-kâo-jai,do not understand,verb,formal,school,false,,ai_a1_master_v3
can_speak,A1,พูดได้,pûut-dâai,can speak,verb,formal,school,false,,ai_a1_master_v3
kiss,A1,จูบ,jùup,kiss,verb,formal,family,false,,ai_a1_master_v3
kitchen_room,A1,ห้องครัว,hɔ̂ng-kruua,kitchen,noun,formal,home,false,,ai_a1_master_v3
balcony,A1,ระเบียง,rá-biiang,balcony,noun,formal,home,false,,ai_a1_master_v3
bank_account,A1,บัญชีธนาคาร,ban-chii-tá-naa-kaan,bank account,noun,formal,shopping,false,,ai_a1_master_v3
bill_check,A1,เช็กบิล,chék-bin,pay the bill,verb,informal,shopping,false,,ai_a1_master_v3
closed,A1,ปิดแล้ว,bpìt-lɛ́ɛo,closed,adjective,formal,shopping,false,,ai_a1_master_v3
open_now,A1,เปิดอยู่,bpə̀ət-yùu,open,adjective,formal,shopping,false,,ai_a1_master_v3
send_message,A1,ส่งข้อความ,sòng-kɔ̂ɔ-kwaam,send a message,verb,formal,work,false,,ai_a1_master_v3
download,A1,ดาวน์โหลด,daao-lòot,download,verb,informal,work,false,,ai_a1_master_v3
upload,A1,อัปโหลด,àp-lòot,upload,verb,informal,work,false,,ai_a1_master_v3
miss_lose,A1,พลาด,plâat,miss,verb,formal,travel,true,can mean miss fail or make a mistake depending on context,ai_a1_master_v3
cross_road,A1,ข้ามถนน,kâam-tà-nǒn,cross the road,verb,formal,directions,false,,ai_a1_master_v3
open_book,A1,เปิดหนังสือ,bpə̀ət-nǎng-sʉ̌ʉ,open book,verb,formal,school,false,,ai_a1_master_v3
close_book,A1,ปิดหนังสือ,bpìt-nǎng-sʉ̌ʉ,close book,verb,formal,school,false,,ai_a1_master_v3
pleased_glad,A1,ยินดี,yin-dii,pleased,adjective,formal,greetings,true,used in polite expressions such as ยินดีที่ได้รู้จัก and can mean glad pleased or willing depending on context,manual_dialogue_seed_v1
know_meet,A1,รู้จัก,rúu-jàk,know,verb,formal,people,true,often means know be acquainted with or meet someone in introduction patterns such as ยินดีที่ได้รู้จัก,manual_dialogue_seed_v1
together,A1,ด้วยกัน,dûai-gan,together,adverb,formal,social,false,,ai_a1_master_v3
also,A1,ด้วย,dûai,also / too,particle,formal,essentials,true,placed at the end of a sentence to mean also or too; also means with or by means of,ai_a1_master_v3
each_other,A1,กัน,gan,each other,particle,formal,social,true,marks mutual or shared action; also appears in ด้วยกัน (together) and กันเอง (among ourselves),ai_a1_master_v3
